#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
076.ne.jp,suspend,false,false,hate-associated,false
101010.pl,suspend,false,false,"",false
10minutepleroma.com,suspend,false,false,"",false
13bells.com,suspend,false,false,"",false
1611.social,suspend,false,false,"hate-associated, anti-lgbtq, hate-speech",false
4aem.com,suspend,false,false,"",false
5dollah.click,suspend,false,false,"hate-speech, anti-lgbtq, harassment, hate-associated, racism",false
80percent.social,suspend,false,false,"",false
8777.ch,suspend,false,false,"",false
9yo.punipoka.pink,suspend,false,false,iftas:csam,false
activitypub-proxy.cf,suspend,false,false,iftas:service-abuse,false
activitypub-troll.cf,suspend,false,false,"dos, harassment, spam, iftas:service-abuse",false
adachi.party,suspend,false,false,"harassment, hate-associated, hate-speech, racism",false
addy.gg,suspend,false,false,"",false
adtension.com,suspend,false,false,"",false
aethy.com,suspend,false,false,"underage, inappropriate, iftas:csam",false
agdersam.no,suspend,false,false,"",false
ai.wiki,suspend,false,false,"",false
alteregocreations.com,suspend,false,false,"",false
alterracloud.com,suspend,false,false,"harassment, hate-speech",false
ancreport.com,suspend,false,false,"",false
ancreport.xyz,suspend,false,false,"",false
angrytoday.com,suspend,false,false,"",false
annihilation.social,suspend,false,false,"hate-speech, harassment, hate-associated",false
anon-kenkai.com,suspend,false,false,"",false
asbestos.cafe,suspend,false,false,"alt-right, hate-associated, anti-lgbtq, hate-speech, racism, underage",false
asimon.org,suspend,false,false,"",false
asteroidm.space,suspend,false,false,"",false
ating.press,suspend,false,false,"",false
badly.co,suspend,false,false,"",false
bae.st,suspend,false,false,"hate-speech, alt-right, anti-lgbtq, hate-associated, inappropriate, nazism, racism, iftas:hate-speech;online-harassment",false
banepo.st,suspend,false,false,"hate-associated, antivax, harassment",false
baraag.net,suspend,false,false,"underage, hate-associated, inappropriate, iftas:csam",false
bassam.social,suspend,false,false,"",false
battlepenguin.video,suspend,false,false,"",false
beefyboys.club,suspend,false,false,"",false
beefyboys.win,suspend,false,false,"hate-speech, hate-associated, iftas:hate-speech",false
beepboop.ga,suspend,false,false,"",false
berserker.town,suspend,false,false,"hate-speech, alt-right, anti-lgbtq, fascism",false
bgzashtita.es,suspend,false,false,"",false
bikeshed.party,suspend,false,false,"",false
bird.makeup,suspend,false,false,"twitter, bots",false
birds.garden,suspend,false,false,"",false
bitcointv.com,suspend,false,false,"",false
blob.cat,suspend,false,false,"harassment, porn",false
blockedur.mom,suspend,false,false,"",false
boymoder.biz,suspend,false,false,"",false
brainsoap.net,suspend,false,false,"",false
ebin.club,suspend,false,false,"",false
breastmilk.club,suspend,false,false,"racism, anti-lgbtq, harassment, hate-associated, hate-speech",false
brighteon.social,suspend,false,false,conspiracy,false
bungle.online,suspend,false,false,"hate-associated, racism",false
burger.rodeo,suspend,false,false,"",false
cachapa.xyz,suspend,false,false,"hate-speech, racism",false
calobar.club,suspend,false,false,"",false
campduffel.social,suspend,false,false,"",false
cannibal.cafe,suspend,false,false,"inappropriate, underage",false
carnivore.social,suspend,false,false,"",false
catgirl.life,suspend,false,false,"",false
catposter.club,suspend,false,false,"",false
cawfee.club,suspend,false,false,"hate-associated, hate-speech",false
cdrom.tokyo,suspend,false,false,"",false
childlove.su,suspend,false,false,"underage, inappropriate",false
ckpg.space,suspend,false,false,"",false
clew.lol,suspend,false,false,"hate-speech, racism, hate-associated",false
clubcyberia.co,suspend,false,false,"hate-speech, harassment, racism",false
clube.social,suspend,false,false,"",false
collapsitarian.io,suspend,false,false,"alt-right, hate-associated",false
contrapointsfan.club,suspend,false,false,"hate-associated, hate-speech",false
coolsite.win,suspend,false,false,"",false
cottoncandy.cafe,suspend,false,false,"",false
crlf.ninja,suspend,false,false,"",false
crucible.world,suspend,false,false,"",false
cryptodon.lol,suspend,false,false,crypto,false
cryptotooter.com,suspend,false,false,"",false
cum.camp,suspend,false,false,"harassment, inappropriate, iftas:hate-speech;online-harassment",false
cum.salon,suspend,false,false,"hate-speech, porn, iftas:hate-speech;online-harassment;explicit-content",false
cunnyborea.space,suspend,false,false,"racism, antisemitism, hate-speech, inappropriate, underage",false
cunnyborea.top,suspend,false,false,"hate-speech, inappropriate, racism, spam, underage",false
cutefunny.net,suspend,false,false,"spam, hate-speech, inappropriate, racism, underage",false
cybercriminal.eu,suspend,false,false,"harassment, hate-associated, spam",false
cyberretards.xyz,suspend,false,false,"",false
cyberstorm.one,suspend,false,false,"hate-speech, nazism, alt-right",false
d-fens.systems,suspend,false,false,"",false
danksquad.org,suspend,false,false,"",false
daspr.io,suspend,false,false,"",false
decayable.ink,suspend,false,false,"alt-right, hate-speech, racism, hate-associated",false
declin.eu,suspend,false,false,"",false
dembased.xyz,suspend,false,false,"",false
detroitriotcity.com,suspend,false,false,"anti-lgbtq, harassment, hate-speech, racism, iftas:hate-speech;brigading;online-harassment",false
dev-wiki.de,suspend,false,false,"",false
dickkickextremist.xyz,suspend,false,false,"",false
dingdash.com,suspend,false,false,"",false
djsumdog.com,suspend,false,false,"",false
dobbs.town,suspend,false,false,"",false
dragonpsi.xyz,suspend,false,false,"",false
drow.be,suspend,false,false,"",false
dtzbts.xyz,suspend,false,false,"",false
eientei.org,suspend,false,false,"hate-speech, racism, iftas:hate-speech",false
endtimebelievers.com,suspend,false,false,"",false
enjoyer.network,suspend,false,false,"",false
epenguin.com,suspend,false,false,"",false
epsilon.social,suspend,false,false,"",false
eskimo.com,suspend,false,false,"",false
eveningzoo.club,suspend,false,false,"hate-speech, alt-right, antisemitism, conspiracy, fascism, racism, iftas:hate-speech;disinformation",false
ey.business,suspend,false,false,"",false
